"","Reference","North_Lat","East_Long","ALOS12","ALOS30","ASTER30","SRTM30"
"1",1403,565772.171002932,2376894.93280421,1382,1404,1397,1412
"2",1200,565637.321891047,2377863.51052033,1172,1201,1193,1200
"3",590,565400.618007623,2382195.81873976,558,588,576,579
"4",989,551958.596937994,2393897.08664919,944,971,984,958
"5",400,552972.27193415,2393549.82448061,359,383,381,388
"6",600,552273.407005915,2392652.53993736,567,592,595,582
"7",580,555693.207399082,2393473.70820608,539,570,574,563
"8",381,576989.042369632,2415658.02804822,341,388,373,374
"9",269,574002.228736381,2415426.51299516,236,263,264,265
"10",266,574545.529913686,2416506.44783314,198,237,224,225
"11",703,569721.960542025,2432232.05313915,645,663,703,663
"12",401,567384.729547796,2432170.67806395,359,412,394,392
"13",350,575015.050820983,2431769.61512272,329,371,350,355
"14",688,570373.324736312,2437651.61718163,617,NA,681,641
"15",622,568091.245451453,2436175.88191198,604,NA,649,635
"16",340,561649.606374554,2430539.00616149,281,305,340,302
"17",609,559426.478790626,2428218.63119192,576,613,609,603
"18",419,562651.40380132,2426555.53473783,394,421,419,419
"19",198,565122.153353112,2425585.27025361,156,194,198,186
"20",347,558875.02180595,2423869.35241811,306,333,347,331
"21",477,565997.296742735,2402033.92511229,406,430,460,432
"22",137,570993.345929459,2414929.04272919,115,148,126,145
"23",288,567683.387585127,2416043.82349006,176,203,222,200
"24",377,570543.449134322,2418892.589142,295,314,331,326
"25",303,571894.876009771,2420672.08720973,269,299,292,302
"26",267,568990.054875968,2421924.69810533,241,262,261,265
"27",421,566998.526865001,2421888.82377001,386,403,417,407
"28",245,569953.76345526,2424311.22868585,176,200,228,215
"29",286,573150.457390654,2425278.49180861,251,277,267,281
"30",184,571374.287324655,2427222.72980116,135,163,184,161
"31",567,569682.791830338,2426086.77336921,518,551,567,544
"32",218,572306.05901133,2430428.28686152,173,212,213,204
"33",207,567122.117365693,2426099.1412147,159,196,208,189
